id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
1,Crown and Chains,Hip Beat Crew,hip-hop,energetic,0.88,96,0.72,0.85,0.12
12,Dusty Roads,Country Hearts,country,relaxed,0.45,100,0.79,0.68,0.92
13,Nocturne in Blue,Classical Minds,classical,melancholic,0.22,88,0.51,0.35,0.98
14,Island Vibes,Reggae Rhythms,reggae,happy,0.68,92,0.78,0.76,0.68
15,Broken Bottle Blues,The Melancholy,blues,sad,0.58,120,0.41,0.55,0.85
16,Disco Fever Nights,Studio 70s,disco,energetic,0.89,128,0.85,0.92,0.08
17,Dreaming in Colors,Whisper Folk,indie,romantic,0.50,95,0.72,0.63,0.76
18,Digital Darkness,Synthetic Void,electronic,dark,0.84,115,0.38,0.79,0.05